is_vuln,num_commits,num_unique_authors,file_age,midnight_commits,risky_commits,seldom_contributors,num_lines,commit_frequency,busy_file,extension_0,extension_1,extension_2,extension_3,extension_4,extension_5,extension_6,extension_7,extension_8,extension_9,extension_10
1,1,1,659,0,0,0,92,0.0015,0,0,0,0,0,1,1,1,1,1,0,1
1,8,5,2029,1,0,4,202,0.0039,0,0,0,0,0,1,1,1,1,1,0,1
1,33,13,2029,1,0,7,1879,0.0163,1,0,0,0,0,1,1,1,1,1,0,1
1,7,4,2029,1,0,3,342,0.0034,0,0,0,0,0,1,1,1,1,1,0,1
1,24,8,2029,1,0,5,1367,0.0118,0,0,0,0,0,1,1,1,1,1,0,1
1,39,14,2029,1,0,10,704,0.0192,1,0,0,0,0,1,1,1,1,1,0,1
1,19,5,1209,0,0,4,82,0.0157,0,0,0,0,0,1,1,1,1,1,0,1
1,6,3,2029,1,0,2,290,0.003,0,0,0,0,0,1,1,1,1,1,0,1
1,13,6,2029,1,0,4,222,0.0064,0,0,0,0,0,1,1,1,1,1,0,1
1,10,2,842,0,0,1,152,0.0119,0,0,0,0,0,1,1,1,1,1,0,1
1,13,4,1266,0,0,1,304,0.0103,0,0,0,0,0,1,1,1,1,1,0,1
1,2,2,1160,0,0,0,60,0.0017,0,0,0,0,0,1,1,1,1,1,0,1
1,6,3,2029,1,0,2,131,0.003,0,0,0,0,0,1,1,1,1,1,0,1
1,4,3,1266,0,0,2,59,0.0032,0,0,0,0,0,1,1,1,1,1,0,1
1,2,2,1034,0,0,0,1352,0.0019,0,0,0,0,0,1,1,1,1,1,0,1
1,2,2,1034,0,0,0,97,0.0019,0,0,0,0,0,1,1,1,1,1,0,1
1,2,2,1034,0,0,0,477,0.0019,0,0,0,0,0,1,1,1,1,1,0,1
1,3,3,1034,0,0,0,414,0.0029,0,0,0,0,0,1,1,1,1,1,0,1
1,3,3,1034,0,0,0,589,0.0029,0,0,0,0,0,1,1,1,1,1,0,1
1,3,3,1034,0,0,0,1218,0.0029,0,0,0,0,0,1,1,1,1,1,0,1
1,6,3,2029,1,0,2,1306,0.003,0,0,0,0,0,1,1,1,1,1,0,1
1,17,11,2029,1,0,8,584,0.0084,1,0,0,0,0,1,1,1,1,1,0,1
1,24,3,842,0,0,2,457,0.0285,0,0,0,0,0,1,1,1,1,1,0,1
1,12,6,1157,0,0,2,306,0.0104,0,0,0,0,0,1,1,1,1,1,0,1
1,12,5,2029,2,0,3,571,0.0059,0,0,0,0,0,1,1,1,1,1,0,1
1,24,4,925,0,0,2,732,0.0259,0,0,0,0,0,1,1,1,1,1,0,1
1,31,7,1266,1,0,5,985,0.0245,0,0,0,0,0,1,1,1,1,1,0,1
1,2,2,1160,0,0,0,68,0.0017,0,0,0,0,0,1,1,1,1,1,0,1
1,11,7,1392,1,0,4,528,0.0079,0,0,0,0,0,1,1,1,1,1,0,1
1,4,3,1266,0,0,2,216,0.0032,0,0,0,0,0,1,1,1,1,1,0,1
1,9,5,2029,1,0,3,1199,0.0044,0,0,0,0,0,1,1,1,1,1,0,1
1,9,5,2029,1,0,3,119,0.0044,0,0,0,0,0,1,1,1,1,1,0,1
1,6,3,2029,1,0,2,104,0.003,0,0,0,0,0,1,1,1,1,1,0,1
1,9,6,2029,1,0,5,311,0.0044,0,0,0,0,0,1,1,1,1,1,0,1
1,111,5,848,0,0,3,753,0.1309,0,0,0,0,0,0,1,0,1,0,1,1
1,41,2,848,0,0,1,485,0.0483,0,0,0,0,0,1,1,1,1,1,0,1
1,16,8,1720,0,0,3,182,0.0093,0,0,0,0,0,1,1,1,1,1,0,1
1,4,4,1080,0,0,0,175,0.0037,0,0,0,0,0,1,1,1,1,1,0,1
1,9,5,2029,1,0,3,240,0.0044,0,0,0,0,0,1,1,1,1,1,0,1
1,7,4,2029,1,0,3,275,0.0034,0,0,0,0,0,1,1,1,1,1,0,1
1,27,11,2029,1,0,6,246,0.0133,1,0,0,0,0,1,1,1,1,1,0,1
1,6,3,1066,1,0,1,590,0.0056,0,0,0,0,0,1,1,1,1,1,0,1
1,3,1,146,0,0,0,776,0.0205,0,0,0,0,0,1,1,1,1,1,0,1
1,47,11,1266,0,0,7,1031,0.0371,1,0,0,0,0,1,1,1,1,1,0,1
